text,label,intent_layer,language,tool,action,condition,prediction,autonomous
Post the launch announcement when the product goes live,context_aware,2,en,COMMS,post_message,trigger_condition,,False
Notifica l ingegneria una volta approvate le specifiche,context_aware,2,it,WORKFLOW,execute,trigger_condition,,False
Sostavit dokument predlozheniya,basic,1,ru,DOCS,draft_document,,,False
Vorstandsunterlagen vorbereiten bevor die Quartalsueberpruefung stattfindet,predictive,3,de,CALENDAR,create_event,,prediction_window,False
Always log the call outcome in HubSpot after every sales conversation,autonomous,4,en,CRM,update_record,,,True
Fetch the marketing attribution data,basic,1,en,WORKFLOW,execute,,,False
Avvisa le finanze prima della scadenza del pagamento,predictive,3,it,WORKFLOW,execute,,prediction_window,False
Keep notifying the account team whenever a contract is at risk,autonomous,4,en,WORKFLOW,execute,,,True
Automatically send the monthly P&L to the board,autonomous,4,en,EMAIL,send_message,,,True
Registrar a ligacao no Salesforce,basic,1,pt,CRM,update_record,,,False
Update the forecast if a deal slips to next quarter,context_aware,2,en,CRM,update_record,trigger_condition,,False
Always create a Jira ticket whenever a bug is reported,autonomous,4,en,TASKS,create_ticket,,,True
Siempre enviar un correo de seguimiento despues de cada reunion,autonomous,4,es,EMAIL,send_message,,,True
Enviar un mensaje al equipo de liderazgo,basic,1,es,EMAIL,send_message,,,False
Rediger le document de proposition,basic,1,fr,DOCS,draft_document,,,False
Update the CRM with the new contact,basic,1,en,CRM,update_record,,,False
Prepare the competitive battlecard before the sales call,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Brief the team on the client feedback,basic,1,en,WORKFLOW,execute,,,False
Mettre a jour automatiquement Salesforce apres chaque appel commercial,autonomous,4,fr,CRM,update_record,,,True
Brief the marketing team before the campaign launch,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Versionshinweise veroeffentlichen wenn der Build live geht,context_aware,2,de,COMMS,post_message,trigger_condition,,False
Post the announcement to Teams,basic,1,en,COMMS,post_message,,,False
Sempre enviar um email de acompanhamento apos cada reuniao,autonomous,4,pt,EMAIL,send_message,,,True
Brief the customer success team before the QBR,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Book a follow-up call if they request a demo,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Invia il preventivo di rinnovo prima della scadenza del contratto,predictive,3,it,EMAIL,send_message,,prediction_window,False
Update im Slack-Kanal veroeffentlichen,basic,1,de,CRM,update_record,,,False
ارسال التقرير الاسبوعي للفريق,basic,1,ar,EMAIL,send_message,,,False
Otpravit otchet kogda auditor podpishet,context_aware,2,ru,EMAIL,send_message,trigger_condition,,False
Show me the conversion rate data,basic,1,en,WORKFLOW,execute,,,False
Anruf mit dem Kunden buchen,basic,1,de,WORKFLOW,execute,,,False
نشر ملخص الاجتماع اليومي تلقائيا على سلاك,autonomous,4,ar,COMMS,post_message,,,True
Redactar el documento de propuesta,basic,1,es,DOCS,draft_document,,,False
Reservar uma ligacao com o cliente,basic,1,pt,WORKFLOW,execute,,,False
Draft the quarterly business review before the client meeting,predictive,3,en,DOCS,draft_document,,prediction_window,False
Remind the team before the VAT return is due,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Draft the renewal proposal if the contract expires in 30 days,context_aware,2,en,DOCS,draft_document,trigger_condition,,False
Actualizar automaticamente Salesforce despues de cada llamada de ventas,autonomous,4,es,CRM,update_record,,,True
Alert the team before the server maintenance window,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Announce the product launch in Slack,basic,1,en,COMMS,post_message,,,False
Draft the SLA report before the monthly review,predictive,3,en,ANALYTICS,fetch_report,,prediction_window,False
Always record a voice memo summary after every site visit,autonomous,4,en,AI,summarise,,,True
Email the team when the quarterly goals are set,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Keep the team capacity tracker updated whenever someone books leave,autonomous,4,en,CALENDAR,create_event,,,True
Always update the lead score whenever engagement changes,autonomous,4,en,CRM,update_record,,,True
Send the proposal to the prospect,basic,1,en,EMAIL,send_message,,,False
Ricorda al team prima della scadenza dello sprint,predictive,3,it,WORKFLOW,execute,,prediction_window,False
Automatically send a Slack digest of all support tickets every morning,autonomous,4,en,EMAIL,send_message,,,True
Create a ticket when a critical bug is reported,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Resumer les notes de reunion,basic,1,fr,AI,summarise,,,False
Alert finance before the payment is due,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Invia il rapporto quando il revisore firma,context_aware,2,it,EMAIL,send_message,trigger_condition,,False
Send the weekly report to the team,basic,1,en,EMAIL,send_message,,,False
Brief the investor before the pitch meeting,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Ping the engineering team,basic,1,en,WORKFLOW,execute,,,False
Alert the data team before the reporting cycle,predictive,3,en,ANALYTICS,fetch_report,,prediction_window,False
Creer un ticket si le taux d erreur depasse 5 pour cent,context_aware,2,fr,TASKS,create_ticket,trigger_condition,,False
Post the update when the feature is merged,context_aware,2,en,CRM,update_record,trigger_condition,,False
Update the CRM record when the trial converts,context_aware,2,en,CRM,update_record,trigger_condition,,False
Draft the vendor review before the contract renewal,predictive,3,en,DOCS,draft_document,,prediction_window,False
Send a Slack message if the build fails,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Envoyer le rapport hebdomadaire a l equipe,basic,1,fr,EMAIL,send_message,,,False
Email the finance team when expenses are submitted,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
安排董事会会议,basic,1,zh,WORKFLOW,execute,,,False
Programar una reunion individual con el gerente de cuenta,basic,1,es,CALENDAR,create_event,,,False
Recupera il rapporto della pipeline del terzo trimestre,basic,1,it,ANALYTICS,fetch_report,,,False
Log the call in Salesforce,basic,1,en,CRM,update_record,,,False
Send the test plan before the QA cycle starts,predictive,3,en,EMAIL,send_message,,prediction_window,False
Send the NPS survey before the customer call,predictive,3,en,EMAIL,send_message,,prediction_window,False
Keep the documentation updated whenever the API changes,autonomous,4,en,CRM,update_record,,,True
Log the new deal in the CRM,basic,1,en,CRM,update_record,,,False
Brief the sales team before the product launch,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Always send the signed contract to legal for filing,autonomous,4,en,EMAIL,send_message,,,True
Email the client when the contract renewal is due,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Angebot ausarbeiten bevor der Pitch stattfindet,predictive,3,de,WORKFLOW,execute,,prediction_window,False
ارسال الفاتورة عند تسليم المشروع,context_aware,2,ar,EMAIL,send_message,trigger_condition,,False
Post to Slack when the CI pipeline passes,context_aware,2,en,ANALYTICS,fetch_report,trigger_condition,,False
Finanzen benachrichtigen wenn der Auftrag gewonnen wird,context_aware,2,de,WORKFLOW,execute,trigger_condition,,False
Create a ticket if the error rate exceeds 5 percent,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Monitorar continuamente o pipeline e sinalizar negocios inativos,autonomous,4,pt,ANALYTICS,fetch_report,,,True
Enviar automaticamente el informe semanal cada lunes por la manana,autonomous,4,es,EMAIL,send_message,,,True
Write the executive summary,basic,1,en,AI,summarise,,,False
جدولة اجتماع مراجعة دائما بعد كل مكالمة عميل,autonomous,4,ar,WORKFLOW,execute,,,True
Brief the engineer before the on-call shift,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Draft the renewal email,basic,1,en,EMAIL,send_message,,,False
Otpravit schet kogda proekt budet sdayn,context_aware,2,ru,EMAIL,send_message,trigger_condition,,False
Raise a Jira ticket for the deployment,basic,1,en,TASKS,create_ticket,,,False
